YEAR,TRIFD,3. FRS ID,Facility Name,Street Address,City,County,State,Zip,10. BIA,11. TRIBE,Latitude,Longitude,Industry Sector
2019,1135WFRRRB12531,1.10023E+11,USC - FERRARA BROTHERS LLC - COLLEGE POINT,120-05 31ST AVENUE,FLUSHING,QUEENS,NY,11354,,,40.769556,-73.847798,Nonmetallic Mineral Product
2019,1135WFRRRB12531,1.10023E+11,USC - FERRARA BROTHERS LLC - COLLEGE POINT,120-05 31ST AVENUE,FLUSHING,QUEENS,NY,11354,,,40.769556,-73.847798,Nonmetallic Mineral Product
2019,11203MRCRY4808F,1.1E+11,MERCURY PAINT CORP,4808 FARRAGUT RD,BROOKLYN,KINGS,NY,11203,,,40.637336,-73.930716,Chemicals
2019,11203MRCRY4808F,1.1E+11,MERCURY PAINT CORP,4808 FARRAGUT RD,BROOKLYN,KINGS,NY,11203,,,40.637336,-73.930716,Chemicals
2019,11203MRCRY4808F,1.1E+11,MERCURY PAINT CORP,4808 FARRAGUT RD,BROOKLYN,KINGS,NY,11203,,,40.637336,-73.930716,Chemicals
2019,14701BLCKS1BLAC,1.10002E+11,BLACKSTONE ADVANCED TECHNOLOGIES LLC,86 BLACKSTONE AVE,JAMESTOWN,NEW YORK,NY,14701,,,42.10925,-79.21425,Fabricated Metals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
2019,11222MTRTR498KI,1.1E+11,UNITED METRO ENERGY CORP,498 KINGSLAND AVE,BROOKLYN,KINGS,NY,11222,,,40.73385,-73.943,Petroleum Bulk Terminals
